Benchmark,latency-Q1_30MB,memory
1,959.9237288135594,297.0246380397252,118,0.16857143,38.0
2,967.8833333333333,328.76206461588544,238,0.18307692,37.36666666666667
3,968.6666666666666,328.9503809611003,358,0.18842106,38.0
4,973.6833333333333,329.1325047810872,478,0.1912,38.0
5,974.2148760330579,329.3119525909424,599,0.1932258,37.377049180327866
6,952.9495798319327,329.50184440612793,718,0.19405405,37.377049180327866
7,971.9916666666667,329.68185170491535,838,0.19488372,37.36666666666667
8,1000.4416666666667,329.8546021779378,958,0.19551021,37.377049180327866
9,985.8333333333334,330.0404281616211,1078,0.196,38.0
10,975.2666666666667,330.2228247324626,1198,0.19639345,38.0
Finale Results,1052.2,330.34423828125,1208,0.19642277,38.0

AVERAGES,980,326,,0.98211385
