Benchmark,latency-Q5,memory
1,1528.25,594.3819561004639,40,0.18181819,13.17741935483871
2,3054.65,1620.956266784668,60,0.1875,7.528301886792453
3,3150.85,1790.6763618469238,80,0.1904762,6.685185185185185
4,3129.35,1790.6263710021972,100,0.1923077,6.440677966101695
5,3124.8,1790.751180267334,120,0.19354838,6.551724137931035
6,3114.75,1790.7059135437012,140,0.19444445,6.440677966101695
7,3118.8,1790.7067237854003,160,0.19512194,6.666666666666667
8,3105.65,1790.907662963867,180,0.19565217,6.5636363636363635
9,3103.8,1790.905152130127,200,0.19607843,6.909090909090909
10,3097.2,1790.9486763000489,220,0.19642857,6.551724137931035
Finale Results,3120.75,1790.801902770996,224,0.19649123,7.3076923076923075

AVERAGES,2968,1666,,0.9824561499999999
